Mean H,Mean S,Mean V,Std H,Std S,Std V,Ratio S/H,Ratio V/S,Entropy H,Prop Kuning,Prop Hijau,Std Gray,Label,Filename
21.267573696145124,213.70096371882087,186.453089569161,1.2687829652162133,10.060918707506112,14.63978129060934,10.048201374073138,0.8724952737673927,2.1178979873657227,0.871031746031746,0.0,16.290163838973058,matang,matang-Matang_1.jpg
19.857431037718147,192.1829142428223,177.24516794895854,2.5570405210866247,22.395967682284574,30.791871772431996,9.67813092723182,0.9222732386203576,2.7982840538024902,0.662882341902796,0.0,32.03904623870074,matang,matang-Matang_10.jpg
20.36283950617284,201.54382716049383,180.76283950617284,1.2350146043699903,10.53693938132331,20.322266006548293,9.897623959721226,0.8968909297991948,2.1344099044799805,0.7759259259259259,0.0,20.118997877205278,matang,matang-Matang_2.jpg
20.32129374553617,211.1131517192123,180.5737169676564,2.3486368147923247,10.33438245581842,25.604506536409765,10.388760207650847,0.8553408773623766,2.5237081050872803,0.7434955616773798,0.0,25.16870257726821,matang,matang-Matang_3.jpg
20.571022222222226,214.97564444444444,176.96177777777777,1.2550255683785692,15.88593599264674,15.817451865144806,10.450406285991482,0.823171248088976,2.1892881393432617,0.8311111111111111,0.0,15.229325680783049,matang,matang-Matang_4.jpg
19.919644444444444,196.86204444444445,179.5639111111111,2.668921689501466,16.31211654085604,24.435337885777205,9.882804191884407,0.9121306369470252,2.50730299949646,0.7733333333333333,0.0,25.70266698621846,matang,matang-Matang_5.jpg
20.859377777777777,214.77617777777775,182.5159111111111,1.225344782117151,14.403932844560796,14.524944526682706,10.296379743540998,0.8497958409614507,2.155482530593872,0.8163555555555555,0.0,15.62683673374781,matang,matang-Matang_6.jpg
20.202836445260687,200.60157126823796,176.96143250688706,2.0642362840197888,17.595470008504126,26.661220406283995,9.929371676004417,0.8821537267458524,2.193990468978882,0.825221916131007,0.0,25.61346383414788,matang,matang-Matang_7.jpg
19.47368055555556,212.196875,153.98305555555555,2.748585809741221,10.68945111941558,35.17769166195502,10.896592733392458,0.7256612440637644,2.8700246810913086,0.5604166666666667,0.0,31.03948632163733,matang,matang-Matang_8.jpg
20.86694444444445,215.25006944444445,171.07993055555556,1.885379890167208,10.828000289663612,22.316658887119875,10.315356273840523,0.7947961320019438,2.581289529800415,0.7465972222222222,0.0,22.642162471972824,matang,matang-Matang_9.jpg
26.052941671576463,212.9298038885616,118.3271610133827,0.9820242663362722,15.44688098552748,24.88232607883405,8.172962763404119,0.5557096906838519,1.9833714962005613,0.9999158320006734,0.0,22.286098946787558,mentah,mentah-Mentah_1.jpg
29.406489012321188,168.60091692565408,104.18713218276795,1.6110712206369175,25.91690230648308,27.624315501629205,5.733457656928527,0.6179511232978577,2.521399974822998,0.997575436972382,0.0,26.58996947568899,mentah,mentah-Mentah_10.jpg
25.815277777777776,217.9174305555556,117.66743055555555,1.7182969380418365,12.769524334574433,19.423415002063862,8.44141008349101,0.5399633469243027,2.6072139739990234,0.9920138888888888,0.0,18.72709853245944,mentah,mentah-Mentah_2.jpg
32.042890625,209.5284765625,93.0094140625,2.143876691716925,12.179794423978928,25.14297610293832,6.538998420106357,0.4438986583084793,2.630549192428589,0.999453125,0.0,23.271349442636254,mentah,mentah-Mentah_3.jpg
28.8533984375,212.2078125,99.7222265625,2.890926027136038,12.165911066987286,17.982067622493233,7.35468785116559,0.4699271939539363,3.099414825439453,0.978125,0.0,18.53971780996365,mentah,mentah-Mentah_4.jpg
28.43784722222222,201.88333333333333,115.84479166666668,0.9834171314537532,20.997162506713455,33.32229203527835,7.099104962647307,0.5738204537032715,1.9984493255615237,1.0,0.0,30.343056978011187,mentah,mentah-Mentah_5.jpg
27.939024995040665,174.1074935528665,86.95343185875818,3.2304646978146576,29.78883936627495,38.82557598735171,6.231693169924141,0.4994238047434606,3.201634168624878,0.9875520730013886,0.0,36.13906376628629,mentah,mentah-Mentah_6.jpg
27.38888888888889,212.2802083333333,116.44395833333331,1.8065894475776076,9.795387092398672,17.711826664012996,7.750593011953869,0.5485389041313639,2.554065227508545,0.9982638888888888,0.0,17.66268805435785,mentah,mentah-Mentah_7.jpg
29.643601050853817,210.79100206417715,87.66208481891537,1.029619450278337,11.050197466786642,26.297235866743183,7.110840906074626,0.4158720239562486,1.97566556930542,1.0,0.0,24.29886177838825,mentah,mentah-Mentah_8.jpg
30.32947607397121,158.16359187991802,96.047102647182,1.9897741159642728,33.00449509455025,26.650817854277147,5.214845760794282,0.6072642599534595,2.874208688735962,1.0,0.0,26.35784646693855,mentah,mentah-Mentah_9.jpg
